portfolio,ret,vol,enb,TE
Min_Var_Factor,0.01614138550708403,0.0806187440031801,4.584592304792067,0.041949110824284375
MV_BL_Factor,0.026427753451058147,0.1370695720008111,2.3418752102869966,0.04116131033367934
MaxSharpe_BL_Factor,0.027832280812394812,0.15137144133228914,2.4455950068150845,0.06455580318701735
Min_VaR_5%_BL_Factor,0.014942644955815956,0.08436446272065665,4.662699454141444,0.043425600652731516
Min_TE_Factor,0.02029005767418456,0.10967133255796133,2.0214017591077256,8.406414503322493e-17
MV_BL_Reg_Factor,0.020325636698941885,0.10980321566625673,2.025945598882249,0.00027229511546585284
Min_Var_LedoitWolf,0.01613120201028726,0.0832860994919249,4.2980614074865615,0.04092396102611846
MV_BL_LedoitWolf,0.026466421450315275,0.13786047983851438,2.2551026239296124,0.04123282271208294
MaxSharpe_BL_LedoitWolf,0.02783295901452708,0.15046615733492755,2.409751999385422,0.061126810894141674
Min_VaR_5%_BL_LedoitWolf,0.016686817814406292,0.09370985912399117,5.768298262047639,0.061764250833942554
Min_TE_LedoitWolf,0.020290057674184566,0.11056344069525308,2.0531096820375456,3.293507972314347e-17
MV_BL_Reg_LedoitWolf,0.02032667612523936,0.11070209674223844,2.0578943898651914,0.00027701290058565486
Min_Var_EWMA,0.016356325667869133,0.07306451057790031,5.876750269432553,0.050372692911698935
MV_BL_EWMA,0.027755993571644065,0.11353029596320029,3.1555713361844657,0.04791646298184716
MaxSharpe_BL_EWMA,0.02783215361388586,0.12572371438080104,2.1826724493558953,0.046248281309804684
Min_VaR_5%_BL_EWMA,0.016511622710068213,0.0776089028970683,5.72679450426165,0.058861354792402135
Min_TE_EWMA,0.020290057674199787,0.10214413146121248,2.048192446289053,1.1546203822895133e-13
MV_BL_Reg_EWMA,0.020353060845289647,0.10221129202854078,2.0520951170948956,0.0003181736983162355
