Factor,Alpha (monthly),Alpha (annual),Beta to MKT,t(alpha),t(beta),R2
CREDIT,-0.0016442349751973168,-0.019730819702367803,0.25623835607475925,-2.1199240123859338,14.634128405363146,0.5298864939809349
COM,-0.005693975655259596,-0.06832770786311515,0.5492285296976059,-1.7875530038926903,7.637702196556095,0.23490290738744257
SMB,-0.0031716972423143867,-0.03806036690777264,0.22195376597803113,-1.6516346552580246,5.119777534954485,0.12123335992477091
MOM,0.0051639021438522155,0.06196682572622658,-0.24338594551027798,2.053866092355551,-4.288011359496921,0.08823505192047298
CMA,0.0006823305944727878,0.008187967133673453,-0.06349109383043586,0.44166888699613577,-1.8204597498801522,0.01714346833361291
RMW,0.002738871075629692,0.032866452907556305,-0.052873141508610555,1.8675613971089327,-1.596999292952032,0.013245397840736195
HML,-0.0015422477406218668,-0.018506972887462402,0.040595877660799765,-0.6352578031024653,0.7407030118530338,0.0028792698233258696
TERM,4.328905369300302e-05,0.0005194686443160362,-0.00010005596984418753,0.07966637851877632,-0.008156546174161046,3.5015380095426707e-07
