,mu_bl_excess_annual
EWZ,0.03478403911606866
FXI,0.027433857217679526
SPY,0.026350652659759805
INDY,0.026084153793500653
EWJ,0.021671623775880396
VGK,0.019464582033803593
DBC,0.01633591426101697
LQD,0.009277955893271874
IEF,0.0018415560184267179
