ETF,mu_excess_annual
SPY,0.03665766777777778
VGK,0.05240223477777778
EWJ,0.04415426277777777
FXI,0.026985979777777776
INDY,0.09068963577777778
EWZ,0.04390988377777778
IEF,0.02079377177777778
LQD,0.024865245777777777
DBC,0.0025
