,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
SPY,0.02114973741654682,0.01971481342550448,0.013364550713630605,0.01300365354101254,0.015720308032811745,0.02246968166930057,-0.0004772293494483208,0.004658374146844435,0.010981038945456368
VGK,0.01971481342550448,0.03105157281302806,0.01674181425835937,0.02017233581479934,0.021955888903949367,0.03244476569235882,-0.0002446492610084396,0.005972836318384287,0.015424055369402688
EWJ,0.013364550713630605,0.01674181425835937,0.02037681817545946,0.012839030835148726,0.013990724167428597,0.01769788411742034,0.000123206724580472,0.0037983394653991554,0.007452251543359387
FXI,0.01300365354101254,0.02017233581479934,0.012839030835148726,0.052406913273841255,0.017850039681029616,0.027428857059132727,-8.96486987240561e-05,0.00467456153765401,0.014131931811267671
INDY,0.015720308032811745,0.021955888903949367,0.013990724167428597,0.017850039681029616,0.0432834978488274,0.035607569066150854,-0.0005323492298832153,0.005178034359128477,0.011299595261631372
EWZ,0.02246968166930057,0.03244476569235882,0.01769788411742034,0.027428857059132727,0.035607569066150854,0.09770890237185409,-0.0016734931332053704,0.007906642321264557,0.02679057891508598
IEF,-0.0004772293494483208,-0.0002446492610084396,0.000123206724580472,-8.96486987240561e-05,-0.0005323492298832153,-0.0016734931332053704,0.005796314793088328,0.0031965594977650157,-0.0032218178341598784
LQD,0.004658374146844435,0.005972836318384287,0.0037983394653991554,0.00467456153765401,0.005178034359128477,0.007906642321264557,0.0031965594977650157,0.006980604042863414,0.0010410873246579746
DBC,0.010981038945456368,0.015424055369402688,0.007452251543359387,0.014131931811267671,0.011299595261631372,0.02679057891508598,-0.0032218178341598784,0.0010410873246579746,0.028690761701974224
