,BL_MV,MinVar_Factor,MinVar_LW
2009-12-31,0.012129697387704353,-0.031220333739428143,-0.028369980296230862
2010-01-31,-0.04824351188964609,0.006636295563562452,0.003034457953931407
2010-02-28,0.02992655976246887,0.008670236058361,0.010502270818664942
2010-03-31,0.06183805676253453,-0.003839640625864142,-0.0016830947319453476
2010-04-30,0.003621642016359993,0.019557230072046003,0.018766850298200716
2010-05-31,-0.07887911769551156,-0.002647126346222401,-0.009043414829013816
2010-06-30,-0.03151816239788383,0.023659445847109793,0.017210754505545704
2010-07-31,0.06182561797087844,0.019526461367253257,0.02242343977024734
2010-08-31,-0.04099973170165275,0.02251466197394544,0.01654200789086916
2010-09-30,0.09106401681076362,0.01269364658409587,0.019106970798798976
2010-10-31,0.032926391100063096,0.004919119810658857,0.008122302558570094
2010-11-30,-0.010022034118831458,-0.010000341827903172,-0.006849849534435837
2010-12-31,0.05619007632763268,-0.008769183950283527,-0.0014338563151616718
2011-01-31,-0.0014717290806142147,0.004442308668299791,0.006062954935472378
2011-02-28,0.02573189480955924,0.008054255291772401,0.011118231704037692
2011-03-31,0.008202960050520252,-0.0009848396809838513,-0.005143949460884243
2011-04-30,0.020551737773673265,0.02351454689581056,0.023694628185068824
2011-05-31,-0.014983800920040468,0.010471454311834612,0.0065125270668336
2011-06-30,-0.011727707090259235,-0.010315440153634083,-0.009838767384799343
2011-07-31,-0.016051455264438727,0.030708330823630114,0.03089769266220457
2011-08-31,-0.07024198746828492,0.024679943079426298,0.02060889564439349
2011-09-30,-0.10294816372868122,-0.007259505298799457,-0.015336797385269437
2011-10-31,0.10407657077493425,0.009226234025282528,0.009099710999197366
2011-11-30,-0.01375632209160376,-0.0064660242983443595,-0.0014517646686366056
2011-12-31,-0.011948560243155642,0.017015468037735904,0.010943803056850828
2012-01-31,0.07145503053268384,0.016458631856273095,0.018187390587186367
2012-02-29,0.04199587419443996,0.005895584481819247,0.007841151070805553
2012-03-31,0.0009470168956809896,-0.015186672367520386,-0.012715720174334776
2012-04-30,-0.010908514094548242,0.014635293194814165,0.011303173870626312
2012-05-31,-0.08342900911223217,0.001586876370992701,-0.007976395179249519
2012-06-30,0.04449301283715978,0.0038674816071759253,0.0072637970936940514
2012-07-31,0.004116477762625667,0.024283976845513828,0.019504969699189457
2012-08-31,0.015377473772269333,0.006290769754233955,0.008959783280449407
2012-09-30,0.032500368120665236,0.0009664269339854372,0.000197882925450326
2012-10-31,-0.006979297543107644,-0.0035760714603643275,-0.007992309307900947
2012-11-30,0.009590846949659804,0.0063190956367588464,0.01007017692939718
2012-12-31,0.02802445169445999,-0.006824521897721658,-0.004111415667698482
2013-01-31,0.041298575364257344,-0.00766602559778917,-0.003358827160070323
2013-02-28,-0.007459793193741763,0.0037540782843021193,0.0026437275789854995
2013-03-31,0.02109511275926168,0.003259481207733695,0.007330213004715403
2013-04-30,0.028495247989596687,0.011250600668306288,0.012026023990079179
2013-05-31,-0.008810782489616163,-0.03063261289210097,-0.031135105971077097
2013-06-30,-0.027343306674794093,-0.02724820148964845,-0.022648908877844594
2013-07-31,0.03560435000392915,0.0052063090313652916,0.005449186500236978
2013-08-31,-0.03133493472840082,-0.008031079332405568,-0.008557191098234603
2013-09-30,0.0512503678253411,0.009671036136273797,0.013695158568331782
2013-10-31,0.04086390545111064,0.009560252663861934,0.008118638067450886
2013-11-30,0.02408224631782792,-0.006345335572082384,-0.005577257341857957
2013-12-31,0.013044437828131935,-0.010285676026755146,-0.010108266348267654
2014-01-31,-0.05574333351553762,0.017376886083512393,0.010688883318308858
2014-02-28,0.039535052912046696,0.011979419395081937,0.014170546393994444
2014-03-31,0.01831470111021311,-0.003703122862282711,-0.00502090805910682
2014-04-30,0.00031218541289833746,0.009150282840499475,0.006870832410484487
2014-05-31,0.033189833919806684,0.013502194572278543,0.014364533193812557
2014-06-30,0.026056285080820227,0.002223370414870293,0.005553321191054272
2014-07-31,0.004760027559577069,-0.008398597531385523,-0.010006061351243056
2014-08-31,0.031054283650807774,0.014565519965554066,0.012019842027876787
2014-09-30,-0.028762796574083406,-0.02047985103775521,-0.021220563765462615
2014-10-31,0.027785492148888757,0.00757992075669668,0.00692401395098645
2014-11-30,0.014824089120231781,-0.0020411161414332583,-0.00698008783540182
2014-12-31,-0.009668915580763705,-0.012657660075741121,-0.01723112506766141
2015-01-31,-0.014277344071877793,0.027458035855177858,0.02253355689417589
2015-02-28,0.053496185630645024,-0.011578540376554512,-0.004360673561973618
2015-03-31,-0.01710730469831088,-0.0023132095929853927,-0.003768108168415124
2015-04-30,0.030306046712658213,0.002113514216946293,0.0073277420184839695
2015-05-31,-0.00023634459310376433,-0.009490239844286784,-0.008005956997375269
2015-06-30,-0.021032239210741977,-0.01299918507446404,-0.011519414781121479
2015-07-31,-0.0077080523728334585,-0.006028876031153619,-0.009899191989613965
2015-08-31,-0.07925173883867287,-0.0034104223881744546,-0.0068462660953976
2015-09-30,-0.028055331443750164,0.006863502184630185,0.0011468929830241014
2015-10-31,0.07134353473044154,-0.00024423957953004796,0.004276574913446972
2015-11-30,-0.0032623919057140154,-0.011510534463414032,-0.013314819185684936
2015-12-31,-0.02133294365132296,-0.013623842009204518,-0.015194147006505898
2016-01-31,-0.06122665627848689,0.012310198588707211,0.008435531508462088
2016-02-29,-0.01650125079138534,0.010151322744908991,0.006365583167031994
2016-03-31,0.08431772087040576,0.016090917729406212,0.015840632945830026
2016-04-30,0.007461139633793242,0.015409753184110038,0.016101265767759807
