,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
2009-12-31,0.018920867431298838,-0.0023730892468489806,0.027637045866607313,-0.028143526529345042,0.014726732512104324,0.007276043841781377,-0.045026689929574815,-0.020889495460648888,-0.0016232752377525195
2010-01-31,-0.03701927554508799,-0.0647584186859409,0.010214348840181131,-0.09682573691069463,-0.06277507423321493,-0.14266766266319264,0.02342576761133852,0.012403866118251727,-0.08163483101092117
2010-02-28,0.030718191170711506,-0.005517146851228727,0.010111520228397897,0.03156129059186874,0.029840589675624862,0.05532732324544476,0.0033135601935789794,0.005054416431120146,0.040592827668040954
2010-03-31,0.05909844973528244,0.06302981424366783,0.049077268258470585,0.061471321514336985,0.08939034578220673,0.07425419814977241,-0.010625757556941728,0.006497711460550448,-0.004665986435086644
2010-04-30,0.015351557472352617,-0.03876325657020674,-0.004800540030251099,-0.030385807149562627,-0.0029917549700866353,-0.018917650682896525,0.01639214167994041,0.01889834472379537,0.038369957582636616
2010-05-31,-0.0827890217125038,-0.12499032582576008,-0.08850000937597713,-0.036403894482508914,-0.08232373205977828,-0.12891605590326094,0.028910418610117894,-0.013168985213773965,-0.10699863065317983
2010-06-30,-0.05312782268880678,-0.016533645853746393,-0.025956942610634304,0.004984448978810896,0.05214143914313185,-0.022840577267006612,0.0300277415328134,0.032259008633834796,-0.017919097085778102
2010-07-31,0.06606932394304099,0.13262908687605401,0.04567959221667772,0.052519245401557946,0.02791248034507543,0.12952058179462034,0.009054501798408054,0.02088760285184854,0.05939661036956334
2010-08-31,-0.04602349653888371,-0.046841818148866565,-0.026303454639730273,-0.04843840842669156,-0.010995341854920238,-0.03808463960966568,0.03300978441858504,0.028154180654359706,-0.030607602813971457
2010-09-30,0.08576886313282017,0.10668434764429913,0.05294451276993284,0.08603507886302175,0.1596362461925498,0.12733129232067641,-2.973767133607197e-05,0.004554498802882279,0.08253431720225368
2010-10-31,0.03749087396644768,0.04769467163281105,0.013058984806139762,0.04899010938549786,0.013557406018831042,0.0011687828261122135,-7.150285805046508e-05,-0.002630244943939708,0.04342347120860035
2010-11-30,0.0,-0.08129956759391899,0.024643793000278524,-0.03691968443869875,-0.06592856544478254,-0.028838874341949428,-0.009021913074695576,-0.016284443173824492,-0.004378223125936387
2010-12-31,0.06471284679309974,0.08743092072408487,0.06727924458442303,-0.0018089117976902713,0.07127603602909938,0.06780684969595896,-0.03491212075427885,-0.007549718431650199,0.0943306255518972
2011-01-31,0.023032401808594116,0.03620808700831546,0.0018316605397377117,-0.012611034165906698,-0.1321200082722518,-0.055791631275072806,-0.0002121693312187034,0.0003685974990954577,0.03495356978102615
2011-02-28,0.03414749570949294,0.030759360834528238,0.05344136689288348,-0.002352969137770611,-0.01319181456628682,0.014511618617462307,-0.002087065036573854,0.010743159070091046,0.04086391677262702
2011-03-31,0.00012013442488179038,-0.010341113411950431,-0.11086906123236195,0.056333781923679105,0.10096141023523275,0.04269987212072035,-0.0015469895003557,-0.005420173130888273,0.026234378475305853
2011-04-30,0.028550057468695655,0.07988013205710809,0.020144613610168616,0.006657215706971087,-0.0036747724465389098,0.0027058485861504167,0.018244675119905907,0.024735788011305715,0.04455155705157443
2011-05-31,-0.011277746659672516,-0.028846746737781093,-0.025001279467778748,0.003533273035842388,-0.05080014004813327,-0.03269582465345966,0.024748094492149875,0.012614999633217217,-0.05310981759876343
2011-06-30,-0.01701381608853758,-0.02107257200406698,0.02414157278971496,-0.03832673807120468,0.028443170743971624,-0.009946840367224485,-0.005058136837651439,-0.008004011168015523,-0.0435807647032016
2011-07-31,-0.020207193590591643,-0.04704520815707047,0.026491427048121352,-0.013831982231613527,-0.025044794780524793,-0.038637462798614575,0.03120430365158544,0.02401131833451675,0.044571965298731975
2011-08-31,-0.05654413851247142,-0.0974078409792778,-0.08370647377188822,-0.09217544014366164,-0.11483745936387413,-0.07455470581369994,0.04546421676910306,0.0033970529978279984,-0.00397086052820228
2011-09-30,-0.07194847032128138,-0.1305444571221397,-0.04039884834725349,-0.22554082283689203,-0.12437288201299523,-0.23061429174082537,0.022124517418617096,0.0035057479356135346,-0.15808202270009808
2011-10-31,0.1035914066366539,0.11707223819123058,-0.006362586104458057,0.15669568845719883,0.10240267263507175,0.18164834116077477,-0.012948789755965251,0.02478590763192301,0.07371963725922726
2011-11-30,-0.004072153350940688,-0.02907772829675226,0.0031860219451886884,0.004427478120008654,-0.10868637689669658,-0.055207970881578916,0.00578189453782052,-0.032075915549964584,-0.00289023890649176
2011-12-31,0.010393926812001908,-0.023663131822279304,-0.022568746777730464,-0.035694398448157916,-0.11609700859757455,-0.020417923125091608,0.019681192343457,0.03428680755513369,-0.02937058595374431
2012-01-31,0.045331661424405034,0.05311378000553324,0.047168506543591615,0.1075663556122306,0.19197928412591558,0.1337058147418646,0.008583242076918296,0.021223050094820728,0.0362213229043995
2012-02-29,0.04248980835394267,0.05282553812491031,0.04504331044297549,0.03691042123482502,0.03732235218385682,0.05313583906926622,-0.011058900408101202,0.016196918303081453,0.05215524740021271
2012-03-31,0.031657246762999414,0.000651640451360791,0.018840632839112637,-0.09414441863482281,-0.045715100348066695,-0.06756897986425026,-0.01604086273954408,-0.014314335997902994,-0.01789453262418128
2012-04-30,-0.0066983472211470385,-0.02526760157642549,-0.04418420242071708,0.033783275525469225,-0.044374916735645975,-0.07047420925046399,0.024782283528672622,0.01076444543991606,-0.01363414495307902
