,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
SPY,0.02094991332530632,0.02125693104172056,0.014416975203120875,0.014041813439241383,0.016910650106676663,0.024230768116975325,-0.0005294573576512416,0.004960905936876881,0.011850170362912959
VGK,0.02125693104172056,0.031887710588826876,0.014906063381957315,0.016716588632839507,0.018525017841607892,0.030384123898995724,-0.0013272671491615215,0.00531505724241625,0.016586255257755516
EWJ,0.014416975203120875,0.014906063381957312,0.020652620363556765,0.010311255387752776,0.011890997881400188,0.017602699868450408,-0.0003029903213099484,0.0036254810452509448,0.008050349063144679
FXI,0.014041813439241383,0.016716588632839507,0.010311255387752778,0.05705854068849883,0.012682272135980839,0.024657293817130745,-0.0010785108986828258,0.0040083972978906,0.015240683232416863
INDY,0.016910650106676667,0.018525017841607892,0.011890997881400188,0.01268227213598084,0.047010693223486014,0.023938384395562944,-0.0014979110538664304,0.00460499902611168,0.012092871680596065
EWZ,0.024230768116975318,0.030384123898995724,0.017602699868450408,0.024657293817130745,0.023938384395562944,0.1062785233971939,-0.0034238265391645906,0.006804437633616886,0.028779186234750183
IEF,-0.0005294573576512412,-0.0013272671491615213,-0.00030299032130994853,-0.0010785108986828258,-0.0014979110538664304,-0.0034238265391645898,0.00444994778155552,0.0006916277914890695,-0.0033988118392978117
LQD,0.004960905936876881,0.00531505724241625,0.003625481045250946,0.0040083972978906,0.004604999026111679,0.006804437633616887,0.0006916277914890694,0.005711272486036541,0.001144686560727242
DBC,0.01185017036291296,0.016586255257755516,0.00805034906314468,0.015240683232416863,0.012092871680596067,0.028779186234750183,-0.0033988118392978117,0.0011446865607272418,0.02914883043629595
