,US_Mkt_RF,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,US_RF,DEV_Mkt_RF,DEV_SMB,DEV_HML,DEV_RMW,DEV_CMA,DEV_MOM,DEV_RF,EM_Mkt_RF,EM_SMB,EM_HML,EM_RMW,EM_CMA,EM_MOM,EM_RF
2011-08-31,-0.0596,-0.030899999999999997,-0.024300000000000002,0.0341,-0.0026,-0.0027,0.0001,-0.0857,0.015,-0.024,0.0286,-0.008100000000000001,-0.0060999999999999995,0.0001,-0.0908,-0.008,-0.0178,0.0183,0.0197,0.02,0.0001
2011-09-30,-0.0757,-0.0349,-0.015300000000000001,0.0199,0.0015,-0.024,0.0,-0.1033,0.002,0.0215,0.0141,0.020499999999999997,-0.0208,0.0,-0.1482,-0.0048,-0.022099999999999998,0.026600000000000002,0.0379,0.001,0.0
2011-10-31,0.1134,0.0325,0.0006,-0.0225,-0.0073,-0.013999999999999999,0.0,0.0874,-0.0429,-0.0263,0.0062,-0.0192,-0.0066,0.0,0.1215,-0.0285,-0.0021,-0.01,-0.0254,-0.029500000000000002,0.0
2011-11-30,-0.0027,-0.003,-0.0052,0.0194,0.0144,0.0388,0.0,-0.0462,-0.0021,-0.0125,0.0177,0.0014000000000000002,0.0545,0.0,-0.0636,0.0007000000000000001,0.0026,0.0202,0.0064,0.038,0.0
2011-12-31,0.0075,-0.0029,0.0154,0.0106,0.024700000000000003,0.0183,0.0,-0.013000000000000001,0.0023,0.0084,0.006,0.0086,0.025699999999999997,0.0,-0.0128,0.0043,0.0036,-0.0076,0.023799999999999998,0.0126,0.0
2012-01-31,0.050499999999999996,0.0202,-0.009300000000000001,-0.0206,-0.0148,-0.0801,0.0,0.0601,0.0147,0.009899999999999999,-0.0271,-0.0127,-0.0693,0.0,0.1115,-0.0192,0.023799999999999998,-0.006999999999999999,-0.0183,-0.0767,0.0
2012-02-29,0.044000000000000004,-0.0167,0.0042,-0.0036,-0.0008,-0.0026,0.0,0.0535,-0.005600000000000001,-0.0008,-0.011399999999999999,-0.0026,-0.0446,0.0,0.0633,0.0203,-0.0011,0.0049,-0.0086,-0.023,0.0
2012-03-31,0.0311,-0.0048,0.011899999999999999,-0.0060999999999999995,0.006999999999999999,0.0131,0.0,-0.0025,0.006,-0.0017000000000000001,0.0175,0.0148,0.0415,0.0,-0.0292,0.0044,-0.016,0.0218,-0.0029,0.0524,0.0
2012-04-30,-0.0084,-0.005,-0.0077,0.013000000000000001,0.0066,0.037200000000000004,0.0,-0.014499999999999999,0.0089,-0.022000000000000002,0.0298,-0.0014000000000000002,0.0641,0.0,-0.0161,-0.004,-0.0029,0.024,0.0171,0.0432,0.0
2012-05-31,-0.0617,-0.0008,-0.0095,0.0203,0.0236,0.0644,0.0001,-0.1124,0.009300000000000001,-0.0029,0.0212,0.011200000000000002,0.0639,0.0001,-0.10369999999999999,0.0146,-0.0177,-0.0002,0.0059,0.0322,0.0001
2012-06-30,0.039,0.0089,0.0055000000000000005,-0.0106,0.0045000000000000005,-0.011000000000000001,0.0,0.0581,-0.0348,0.0227,-0.0048,0.0121,-0.0063,0.0,0.036699999999999997,-0.0014000000000000002,0.0049,0.0048,0.006500000000000001,0.013300000000000001,0.0
2012-07-31,0.0079,-0.0281,-0.0006,0.0104,0.0001,0.03,0.0,0.0079,-0.0109,-0.0204,0.0171,-0.009000000000000001,0.0416,0.0,0.0132,-0.024700000000000003,0.0015,0.0063,0.0023,0.0317,0.0
2012-08-31,0.0254,0.0044,0.0123,-0.015,-0.0086,-0.0235,0.0001,0.029500000000000002,-0.0073,0.0084,-0.0102,0.0034000000000000002,-0.0111,0.0001,0.0055000000000000005,0.0273,-0.006999999999999999,-0.0072,-0.010700000000000001,0.0126,0.0001
2012-09-30,0.0273,0.005699999999999999,0.016200000000000003,-0.013000000000000001,0.015600000000000001,-0.0113,0.0001,0.0341,0.0083,0.0143,-0.0131,-0.0052,-0.0139,0.0001,0.057800000000000004,-0.0088,0.0161,-0.006500000000000001,0.0006,-0.0063,0.0001
2012-10-31,-0.0176,-0.0083,0.0352,-0.013999999999999999,0.0252,0.0005,0.0001,0.0077,-0.008,0.0068000000000000005,-0.0012,0.0063,0.0004,0.0001,-0.0068000000000000005,0.0064,0.0029,0.0161,0.0006,0.032,0.0001
2012-11-30,0.0078000000000000005,0.004,-0.0086,0.0038,0.008100000000000001,0.0053,0.0001,0.0179,-0.0217,0.0087,0.0015,0.0007000000000000001,0.022000000000000002,0.0001,0.0108,-0.0063,-0.0005,0.0060999999999999995,0.0060999999999999995,0.0362,0.0001
2012-12-31,0.0118,0.0192,0.0348,-0.0172,0.008,-0.029300000000000003,0.0001,0.0329,0.0092,0.036699999999999997,-0.0149,0.014199999999999999,-0.014499999999999999,0.0001,0.0509,-0.0024,0.0271,-0.0026,0.0026,-0.014199999999999999,0.0001
2013-01-31,0.0557,0.0042,0.0101,-0.020099999999999996,0.0152,-0.0182,0.0,0.0526,0.005,0.0239,-0.009899999999999999,0.0118,0.011000000000000001,0.0,0.0175,0.0098,0.016,-0.0182,0.0063,0.009399999999999999,0.0
2013-02-28,0.0129,-0.0025,0.0021,-0.0059,0.0060999999999999995,0.0123,0.0,-0.009399999999999999,0.0104,-0.009899999999999999,0.0104,0.002,0.0429,0.0,-0.0083,0.022400000000000003,-0.0118,0.004699999999999999,-0.001,0.0482,0.0
2013-03-31,0.0403,0.0088,-0.0022,0.0027,0.0141,0.0192,0.0,0.008199999999999999,0.0143,-0.030600000000000002,0.021400000000000002,0.0003,0.054400000000000004,0.0,-0.0121,0.0129,-0.0053,0.009300000000000001,0.0129,0.025099999999999997,0.0
2013-04-30,0.015600000000000001,-0.022400000000000003,0.0044,0.0039000000000000003,0.0043,0.0022,0.0,0.044000000000000004,-0.0104,0.016399999999999998,-0.0033,0.016200000000000003,0.0482,0.0,0.0109,0.008100000000000001,-0.0034000000000000002,0.0054,0.0048,0.037599999999999995,0.0
2013-05-31,0.0281,0.0204,0.026699999999999998,-0.02,-0.0095,-0.020099999999999996,0.0,-0.0149,-0.0078000000000000005,0.0091,-0.0055000000000000005,-0.0128,-0.0189,0.0,-0.0189,0.0173,0.002,-0.0086,0.008,0.013999999999999999,0.0
