portfolio,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
Min_Var_Factor,0.3102068041962493,-1.9036525304764382e-22,0.2867355750789881,0.0861822203898667,0.08379657006450596,-1.6854644587593095e-22,0.009207491904118691,0.10548796390886842,0.11838337445740282
MV_BL_Factor,0.6220691090445898,-8.177982605107791e-23,0.07272221260553587,0.1503825766005133,0.08605186075102533,0.06877424099833579,-1.716310788339722e-24,1.668352096605535e-23,3.7118390795632384e-23
MaxSharpe_BL_Factor,0.557154701643513,-8.677154319383069e-08,8.569524071912994e-08,0.20691371509896642,-2.9549291993822855e-07,0.23593176943097555,-2.89313483904967e-08,8.503887750961e-08,5.4288238312767286e-08
Min_VaR_5%_BL_Factor,-4.572433468664959e-06,0.3096666036748985,0.26309713311431737,0.05699717705488479,0.1494551165834382,-1.3439837992767049e-06,0.0038235637094650027,0.09806183469343514,0.11890448758682905
Min_TE_Factor,0.6831280633711934,0.15005076629621697,0.04076326118863444,0.019875966484206874,0.025828312783514013,0.008195479633870163,-0.0013972368235412513,0.040579675216675125,0.032975711849230205
MV_BL_Reg_Factor,0.6825317030820942,0.1489182352349863,0.040867530884161486,0.02055154979197699,0.026229707777701144,0.009202927154911032,-0.0014338244065264163,0.040379033941887355,0.03275313653880797
Min_Var_LedoitWolf,0.349490654064067,-1.1498574911075187e-22,0.2771520193131395,0.05868768240698689,0.04482821606419001,1.4072079257194332e-23,0.03953803962299739,0.12434892785903927,0.10595446066957986
MV_BL_LedoitWolf,0.6356494648325421,-1.1840405524064134e-22,0.07159076158920431,0.15900688171181554,0.06268039987441042,0.07107249199202754,6.395746103540961e-25,-1.1184501261821581e-23,4.120974558790975e-23
MaxSharpe_BL_LedoitWolf,0.5661286190344749,-9.888495561863383e-06,-1.108822896026111e-05,0.20362016601636804,1.8571981233864048e-05,0.23025567736451166,2.336676501133557e-07,-1.5435041875012567e-06,-7.478355289632881e-07
Min_VaR_5%_BL_LedoitWolf,-1.7323367461736312e-05,-6.073260744190743e-06,0.22556954071189667,0.17612965778857434,0.2218602819884384,0.14504009465137602,0.03005449908602386,0.10395509221408544,0.09741423018781109
Min_TE_LedoitWolf,0.6781947970168559,0.1462214542337628,0.040303433060097836,0.02013944374612024,0.026007848979762705,0.008105288334183123,0.0057245234954773514,0.04461643164437654,0.030686779489363488
MV_BL_Reg_LedoitWolf,0.6775476270796869,0.1452043590234249,0.04041929902018189,0.020799875791859407,0.026404817164005844,0.009112256958206983,0.005614105512967363,0.04436051869861051,0.03053714075105617
Min_Var_EWMA,0.13726759271922273,-2.095919249960427e-22,0.20609357371422712,0.07943257436745522,0.22332512144729819,-6.183699535681055e-22,0.13127025055018204,0.1842841818468834,0.0383267053547313
MV_BL_EWMA,0.4648126143548959,-1.3998223375068124e-23,-1.2476055638466994e-22,0.19134361900368477,0.12131354043478713,0.22253022620663224,-5.500593590451186e-24,2.0774772943918506e-23,-4.8756946237617204e-24
MaxSharpe_BL_EWMA,0.6211119295347027,-4.013967982651002e-06,-1.4709409313648972e-06,0.20670615008822377,2.87060568978371e-06,0.172181551097729,1.1529526086176175e-06,1.141775943689876e-06,6.88854016314999e-07
Min_VaR_5%_BL_EWMA,-3.409445520449554e-06,-2.4118380394111332e-06,0.25847729489798393,0.19087935514036347,0.14037293069668513,0.07922282896477867,0.12345437375802863,0.16938090303647813,0.03821813478924205
Min_TE_EWMA,0.6820000590658166,0.11796659704676712,0.042357338403148675,0.015630871995720302,0.011317819549222776,0.005514021602078328,0.04380122378793445,0.07041880550320403,0.010993263046107602
MV_BL_Reg_EWMA,0.6814806419506184,0.11747866293914903,0.04228233350702023,0.01621470059423987,0.011775318602854629,0.006753549177180026,0.0431812761599175,0.06976903817524548,0.011064478893774684
