,ret,vol,enb,TE
Trustee (High λ),0.0161441384770243,0.08062045138576386,4.608091930472486,0.04209583143857149
Market (Mid λ),0.016594886738520935,0.08223383904047085,4.270535323512053,0.03904621501573902
Kelly (Low λ),0.026427753451058147,0.1370695720008111,2.3418752102869966,0.04116131033367934
