,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
SPY,0.02047050100444587,0.02081593514969255,0.014066704048576892,0.013762035585984106,0.016582685121011357,0.023881208033500467,-0.0006208735404881824,0.004835455836379854,0.011703659705323286
VGK,0.02081593514969255,0.03134947491854856,0.014530423392658105,0.016453556655203375,0.018227250407054706,0.030047680650978882,-0.0014161018145474919,0.0051918015951811815,0.01642578942255419
EWJ,0.014066704048576892,0.014530423392658101,0.020072660889784988,0.010108588264552354,0.01166193629495199,0.01734788621865187,-0.00037990327529226344,0.0035218757267907186,0.007940951079349822
FXI,0.013762035585984106,0.016453556655203375,0.010108588264552356,0.0556219304145609,0.012782290226266068,0.024238865915950758,-0.0011694629863080925,0.0038915489703178585,0.01505713348888182
INDY,0.01658268512101136,0.018227250407054706,0.01166193629495199,0.01278229022626607,0.045436861052847416,0.024023012342130428,-0.0015640465203395457,0.004504088745284666,0.012018640039301266
EWZ,0.02388120803350046,0.030047680650978882,0.01734788621865187,0.024238865915950758,0.024023012342130428,0.10446173189946203,-0.0035237306635254504,0.006663435531150502,0.028521869813408603
IEF,-0.000620873540488182,-0.0014161018145474916,-0.00037990327529226355,-0.0011694629863080925,-0.0015640465203395457,-0.00352373066352545,0.004312825718067299,0.0005963918130739509,-0.003414704483826944
LQD,0.004835455836379854,0.0051918015951811815,0.00352187572679072,0.003891548970317858,0.004504088745284665,0.006663435531150503,0.0005963918130739508,0.0055532117954898,0.0011127096631325484
DBC,0.011703659705323288,0.01642578942255419,0.007940951079349823,0.01505713348888182,0.012018640039301268,0.028521869813408603,-0.003414704483826944,0.0011127096631325481,0.028582470663975908
